C1_OBJ_NM,DT,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,ORG_ID
지수종류별,1.66,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200611,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.66,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200612,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.75,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200701,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.68,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200702,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.64,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200703,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.78,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200704,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.61,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200705,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.56,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200706,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.37,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200707,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.41,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200708,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.35,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200709,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.28,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200710,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.38,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200711,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.39,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200712,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.62,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200801,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.54,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200802,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
지수종류별,1.54,13102792819A.01,M,%,13103792819T1,DT_343_2010_S0032,배당수익률,코스피 배당수익률,200803,2026-01-19,KOSPI,KOSPI,%,dividend yield,343
